business_id,name,ranking,score, city,latitude,longitude,address
YxrHNjPHfha1h2Kvm_G0w,The Blue Flamingo Sports Bar & Grill,1,4.524906193,New Orleans,30.051303,-89.979404,"10800 Hayne Blvd"
7k-tfmFwqgPYPMIGik4HIg,American Townhouse,2,4.428742765,New Orleans,29.9630033685,-90.0657422869,"1012 N Rampart St"
JVDkpFxbc_j49Wvxk5CtVA,Pluck Wines,3,4.227135517,New Orleans,29.947285,-90.072003,"722 Girod St"
AP2UC4jid1vxI7Mu_Y1sXQ,Bywater Brew Pub,4,4.198240014,New Orleans,29.9636904,-90.046948,"3000 Royal St"
kuQ-hmZHQa2VXeFyJwew5A,Taqueria La lucha,5,4.12978226,New Orleans,29.9421729105,-90.0678311178,"404 Andrew Higgins Blvd"
rrd9QThX5G728RprMsxcGA,Commons Club,6,4.129308002,New Orleans,29.948945,-90.0731349,"550 Baronne St"
LwBLK_hNI72tZYzuhYp0eQ,Zhang Bistro,7,3.997762946,New Orleans,29.9606831671,-90.0593876919,"1141 Decatur St"
7uFQqkUJUNu8XBo1nh8DTw,Pomelo NOLA,8,3.961690763,New Orleans,29.9211388,-90.0984265,"4113 Magazine St"
3CcQS_pHoq9RPaOWYlo_7Q,Elizabeth Street Cafe,9,3.912572218,New Orleans,29.9342468696,-90.0729055707,"1507 Magazine St"
q1whmG4Jdift2yL5nSJR_Q,Hangout Ramen,10,3.895401588,New Orleans,29.948753049,-90.1285501,"1340 S Carrollton Ave"
