review_id,text,user_id,date,business_id,stars,name
hW9fNJyPX-uaHewEIsbeEQ,"We enjoyed amazing service and a delicious brunch here. The food was top notch. The only downside was there wasn't any formal cutlery and plates. Our forks and knives kept breaking. Other than that, all is well and we will be back.",5-pWOxxnvLunYsPT7dAfcQ,2021-03-08 16:15:56,tpvHimO4BBn1QMPQL02B7A,4,Kathryn
m-rDdKgd3vaEBWjxpQOZXA,"Delicious! We got the ""el rio"" chicken tostada and the ""Pueblo quesabirria"" sandwich. Both were 10/10. Great flavors, textures, and portion size. I'm excited to go back and try more items!",o4Kaz7ROzKHwUs1Y-dnk6Q,2021-01-14 21:28:11,tpvHimO4BBn1QMPQL02B7A,5,Marissa
sp3ZYBIv-qUZ7Z5F7HgAwA,Service was great and the food was delicious. The workers were really welcoming. The sandwich itself is a little messy if you remove the paper wrapping. However the flavor of the sandwich was great.,Ufmb8HgGbk-kOYY_HLS2zg,2021-05-17 18:51:58,tpvHimO4BBn1QMPQL02B7A,5,Katrina
J3YCUxZuAUwzEq2G4LGyow,"I absolutely love every charro concept and barrio bread is a local favorite. I was really hoping this would live up the the hype! I had the Rincón Relleno and it was just ok. The bread was burned, not much flavor, and for $10 I just felt like it wasn't worth it. I left with two $5 bags of chips for friends and family, but probably won't be trying this place again for the price. I love supporting local but I'd rather go to El Charro and enjoy a carne seca filled relleno!",TooOXvtHzJbNmcZKigI30w,2021-03-17 19:49:24,tpvHimO4BBn1QMPQL02B7A,3,Briana
16BPCaN5jNHgFa04KMK7tQ,"Was looking forward to this visit but I was very disappointed. Order at the counter and sit in an uncomfortable metal chair if you can find one, no names are taken to help with seating. The Panchilada is bread pieces with a sauce, cheese and cilantro served in a take home aluminum plate with no garnish or sides. They forgot the chicken; no apologies or comment when I took it to the counter. Flavor was unremarkable. The optional small amount of chicken brought it to $12. Staff not friendly or welcoming. You have to ask for the location of the water and utensils. Tables are not wiped between customers, bus your own table. The food and other products for sale are very overpriced. If they don't change they don't deserve to stay in business.",ptS2nrDvyvsu-W0yi567EA,2021-05-21 22:53:46,tpvHimO4BBn1QMPQL02B7A,1,Gloria
44pPu_8IPNwLnzuBhCafBA,"Mask Police at the door  So unfortunate, was my first visit and was looking forward to it. Turns out the food was underwhelming anyway. Save the drive.",AQdYfDpc_ceEwxq10fqf7A,2021-03-28 21:54:40,tpvHimO4BBn1QMPQL02B7A,1,Steve
nzcgXfYHAP6tUqgsdD99vw,"If you love Barrio Bread, make way for Barrio Charro. This place has some amazing sandwiches on their signature bread, Tortamanos is where it's at. Their most popular is the carne asada one and I can definitely see why. Generous portions, delicious flavors, and made with love. This place is such a great addition to the Old Pueblo. It is always busy but don't let that deter you! There is plenty of parking and you can always get your grub to go. They are speedy even in the lunch rush!",LNeUIkubMxRZxvOmzzg2tg,2021-07-12 22:47:46,tpvHimO4BBn1QMPQL02B7A,5,Jenni
e2YXwbHrRQI2SoD_TnI1hQ,The three stars is for the Cabrini Cubano. The restaurant is clean and the staff is friendly and helpful. I have to preface this review with I have spent a fair amount of time in Tampa and the Cubano is my favorite sandwich style. The Cabrini Cubano tastes good. UT not like a Cubano.  The bread is good but not flattered on the plancha so you don't get that crunch. It seems underfilled and not quite the right flavors.,Y2vmE74kkYH27Q9k8TJ2Dg,2021-08-02 18:15:05,tpvHimO4BBn1QMPQL02B7A,3,Tom
WjGPX6Z9zmpys2b8FKVZ5w,"Wow. Not sure why it took me this long to come here. This place is equal parts ""you know what you're getting"" and ""holy shit this was better than I was expecting"". I love Barrio Bread, like charro's food (charro steak to be specific). Barrio Charro is an excellent combination of each company's strengths with none of the weaknesses. I had the carne asada sandwich, she had the sunny side tortamano. Hers was delicious, mine was dearlordhowdidtheymakethis? delicious. The first bite made me do a Guy Fierri eye roll and  declare that it was ""gangster"". I will be coming back for this sandwich and it stands no chance against the furry my hungry stomach holds. The coffee is good too. Get the cafe de la olla and taste some coffee that is hilariously yummy. One negative...those stools at the high top (picture included). They are legit the worst stools I've ever sat on. I saw three different groups sit on them and then move to a table. Destroy these stools please.",XzgLFg8r_BvwEYJeZB0t-w,2021-05-30 18:08:59,tpvHimO4BBn1QMPQL02B7A,5,Nick
1iylfR1dnGPoi5qbK_zQtw,I was looking for something quick and light. The staff was helpful and guided me through the menu. I had a breakfast burrito back at my office. It was very reasonably price and the taste was off the charts!Other great location for El Charro!!,2RP28-h_-7aNnvbXtv3qRg,2021-11-09 19:17:26,tpvHimO4BBn1QMPQL02B7A,5,Derrick
p79sT-mWZSgTUxw0D8Xf9A,"Funny how things happen. I was actually looking for ""Tucson Tea company"" because I was trying to be the kind person and support a new business. However, on Yelp! (At least at this time) both establishments have the same address for whatever reason so I ended up at this place instead! Barrio Charro served me some Wonderrrrrrful Tres Leches cake. It's made with cane sugar which is important to me. They have a vanilla option and a coconut option which they're both basically the same except the coconut one has coconut sprinkled on top. My husband is on a keto diet so I hope he doesn't read this review since I'm being ""supportive"". I had no intention of getting this delicious cake. I just wanted a coffee and perhaps some sort of savory item. But I saw the cake, and my inner Marie-Antoinette said ""eat the cake!"" I don't know, this cake with a coffee...it was a pretty amazing combination. I'm not one to eat anything if I don't absolutely love it; I practically licked the container when I was finished! Definitely worth it if you are really in the mood for a big piece of delicious, good quality cake and a hot beverage! It's interesting about Tres Leches...it's good to keep in mind that this type of cake is somehow dry and moist at the same time which I find absolutely amazing! I believe that's the way it's ""supposed to be"" so it's perfect with a beverage. They had two types of drip coffee. One was a French roast and the one I tried started with a letter O. I'm not sure what it was. I thought it said ""Café Olé"" on the carafe but it was definitely black coffee so it must've said some other fancy word. It had this delicious, sweet, cinnamon aftertaste! $10 for the drip coffee and the cake which is pretty steep in my book, but I'm glad I tried it at least once!",EAYRQGbCV9RcP6cRow95WQ,2021-06-29 20:15:32,tpvHimO4BBn1QMPQL02B7A,5,Lily
