business_id,name,ranking,score, city,latitude,longitude,address
"22Zhfb78DHpyDlAAnfU1LQ",Bringles Smoking Oasis,1,4.328505502,Nashville,36.1623195,-86.8469936,"4901 Centennial Blvd, Nations"
"00FlwcHcngPcmMHzUnXetA",The Authentique,2,4.272724857,Nashville,36.1877579617,-86.7463213882,"925 Gallatin Ave"
qepgYnobwEyWr4oAfDDhyw,Succulent Vegan Tacos,3,4.122096092,Nashville,36.1706189,-86.7888584,"900 Rosa L Parks Blvd"
KPofPh5SmzKumg-PpbAEYw,Frida’s Oaxacan Cuisine,4,4.088903884,Nashville,36.1194859,-86.7491146,"2424 Nolensville Pike"
jf2eOxyT1tlA1lyqKavPXA,Calacas Mexican Cuisine,5,4.085465268,Nashville,36.1563043,-86.7755399,"411 Korean Veterans Blvd"
a7XBfJd0aEo-UpPXetH2JA,Taqueria El Gym,6,4.054736188,Nashville,36.1110416835,-86.742458376,"234 Thompson Ln"
uPsFg_EG4sgrkimoRrBNOA,Family Tacos,7,4.033979096,Nashville,36.1526501817,-86.8389412961,"4304 Charlotte Ave"
qp7cJWwx5-j45fLGLYsn_Q,Pokeworks,8,4.0044159,Nashville,36.1632989,-86.7910443,"416 11th Ave N"
Y8djj3w2NPUkR5PoXwM4cA,Boston Commons,9,3.970016524,Nashville,36.17697293,-86.7508104023,"1008 Woodland St, Ste A"
PRK5CTAOyidhiICu5fZwdg,Koi Sushi & Thai Midtown,10,3.944030288,Nashville,36.15095,-86.80481,"2214 Elliston Pl"
"7k-tfmFwqgPYPMIGik4HIg",American Townhouse,2,4.428742765,New Orleans,29.9630033685,-90.0657422869,"1012 N Rampart St"
JVDkpFxbc_j49Wvxk5CtVA,Pluck Wines,3,4.227135517,New Orleans,29.947285,-90.072003,"722 Girod St"
AP2UC4jid1vxI7Mu_Y1sXQ,Bywater Brew Pub,4,4.198240014,New Orleans,29.9636904,-90.046948,"3000 Royal St"
kuQ-hmZHQa2VXeFyJwew5A,Taqueria La lucha,5,4.12978226,New Orleans,29.9421729105,-90.0678311178,"404 Andrew Higgins Blvd"
rrd9QThX5G728RprMsxcGA,Commons Club,6,4.129308002,New Orleans,29.948945,-90.0731349,"550 Baronne St"
LwBLK_hNI72tZYzuhYp0eQ,Zhang Bistro,7,3.997762946,New Orleans,29.9606831671,-90.0593876919,"1141 Decatur St"
"7uFQqkUJUNu8XBo1nh8DTw",Pomelo NOLA,8,3.961690763,New Orleans,29.9211388,-90.0984265,"4113 Magazine St"
